item name中文,model name中文,price,image url,product link,二级类目,三级类目,四级类目,邀请码,model id,final_1688_link,price judge,销售优先级,itemid,最大价格,销售优先级,该款式有sku数,是否有高价品加投资源,是否为重抛货,是否重点招募
这款LED吸顶灯配备遥控器和调光功能，设计现代纤薄，安装简便，非常适合家庭、卧室和客厅使用。,白色 48W 遥控器,28.53,https://cf.shopee.co.th/file/th-11134207-7r991-lp2l5urffo1q52,http://shopee.co.th/product/301317971/23735325830,灯光,室内固定照明-天花灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN2026091815701,165769220821,相似款：https://detail.1688.com/offer/1038802535090.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,23735325830,28.53,高销售优先级,1,否,是,是
朗东LED触摸台灯 - 型号：RD-RL-36,蓝色，8瓦,5.9,https://cf.shopee.vn/file/vn-11134207-7r98o-lsaug4oq01c4cc,http://shopee.vn/product/815653822/18227668415,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN2026091814721,281040117093,相似款：https://detail.1688.com/offer/729901253813.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bab14ad17879100845711826e0d26&token=l%2F391Rt%2B4RTAZmobIV8qt9fKO0rB6dW1VDza7hf4xAJmYkbujxc%2BdREG0ZEwjX7j,P1,高销售优先级,18227668415,5.9,高销售优先级,1,否,是,是
平盖 116，无孔，TL 品牌，纸箱包装（50 个 x 20 排）。,平盖 116，无孔，TL 品牌，纸箱包装（50 个 x 20 排）。,58.92,https://cf.shopee.co.th/file/th-11134207-81zti-mmikp4zmlerqc2,http://shopee.co.th/product/372381946/27618804511,派对用品,一次性餐具,,IVCN2026091816167,69841849710,https://detail.1688.com/offer/920944433311.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,27618804511,58.92,高销售优先级,1,否,是,是
SiamLatex Hybrid Plus 是一款混合乳胶枕，是一款结合了纤维和天然乳胶的健康枕头。,SiamLatex Hybrid Plus 是一款混合乳胶枕，是一款结合了纤维和天然乳胶的健康枕头。,5.5,https://cf.shopee.co.th/file/sg-11134201-825bc-mskt6t1luoed2d,http://shopee.co.th/product/44265481/22236991689,寝具,枕头,,IVCN2026091815221,204164989722,相似款：https://detail.1688.com/offer/896737338384.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b52090217612956699807660e0d81&token=198dWS9rtBEH6UAb3%2F3sPJ750g8lIstNfQaMSdTEabk%2BI78xSAdOGESE1fJxO3tm,P1,高销售优先级,22236991689,5.5,高销售优先级,1,否,是,是
50毫升软木塞瓶套装（10/20/30/40/50/100毫升） - 派对和活动的伴手礼。,科克，40,13.8,https://cf.shopee.com.br/file/br-11134207-820m4-mo8ggvoy62gycc,http://shopee.com.br/product/973078096/21997924839,派对用品,其他的,,IVCN2026091815127,169400269356,,P2,高销售优先级,21997924839,13.8,高销售优先级,3,否,是,是
三个圆柱体，采用原色中密度纤维板和圆形面板制成，适用于派对、生日、活动。,三个圆柱体，采用原色中密度纤维板和圆形面板制成，适用于派对、生日、活动。,28,https://cf.shopee.com.br/file/br-11134201-820l7-mqynk5x0hn9gb1,http://shopee.com.br/product/325503017/54850164246,派对用品,背景幕布和横幅,,IVCN2026091816711,267091743436,相似款：https://detail.1688.com/offer/814759769913.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=05e5ad684a984d3bb17ffde8880141ae&sessionid=e228fcf32cd345ad460d14226d875e01,P1,高销售优先级,54850164246,28,高销售优先级,1,否,是,是
朗东 40W/60W 半圆形 LED 灯 - 2 年保修，一对一更换 - 型号：M26L、M36L、M66 [正品],M36 白色/50瓦/120厘米，2个,31.02,https://cf.shopee.vn/file/vn-11134207-81ztc-mm6ws8abtqthcb,http://shopee.vn/product/88620289/8910602482,灯光,灯泡/灯管,灯泡/灯管,IVCN2026091814433,385676229069,相似款：https://detail.1688.com/offer/748716509170.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b0fdc4f17799424133566509e0d6d&token=yOEpiTi%2FBe9%2Fb9RHqcTzz%2FYMMQk2zCtaMlLlGZ539SQ%2FTerxt4Udo%2FsDlc9qCeFU,P1,高销售优先级,8910602482,31.02,高销售优先级,1,否,是,是
5/10/20/30/40/50个装泡泡气球套装，24英寸透明水晶气球，60厘米，波波派对装饰气球,40个单位,15.6,https://cf.shopee.com.br/file/br-11134207-81zto-mkz5hh0f4lc3b6,http://shopee.com.br/product/1648170011/23799190436,派对用品,气球,,IVCN2026091815735,129654612535,相似款：https://detail.1688.com/offer/856156007362.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,23799190436,15.6,高销售优先级,2,否,是,是
太阳能灯，太阳能花园泛光灯，功率可选100瓦、200瓦、500瓦、800瓦、1000瓦，铝制外壳，两年质保,800瓦原装电池，尺寸35x70厘米,99,https://cf.shopee.vn/file/vn-11134207-7ras8-mbozoi1qqiya1b,http://shopee.vn/product/120077135/3718052336,灯光,太阳能灯,太阳能投光灯,IVCN2026091814251,290594521097,https://detail.1688.com/offer/746643237385.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b51056217640427234991135e0d87&token=h6weO%2F%2BxgqsJOPZzvnMltI7rj98yppVROp6Ecvf%2BJsUNgJclIo2uUdoLFJdzHCaz&tracelog=cps&clickid=e8442537064f2740c7dd689cfc40481f&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC31BEBF93134A5E855DF96BD0C7F1EAED718DB49D43B6DF26CC6F5316BEA5D89D7EEF6D6099BA67CE089F770C23C101B7124A5DC43CFFD8CC7BE2C977F21ECC0E6EB4164DF0EDDAF41DCA52A0A5DCCA5FBD8A4DE49F45D045FDD64B4C78C6AED0D787FE627A7A95005859AAEA2BDF20CB42DDC7FBBEC4FA3FECB7F65B0753FE2E40C585ADF1D61A949A5630D7A2472D3C%26cbu_cps_trace_flag%3Dwrite,P0,高销售优先级,3718052336,99,高销售优先级,3,否,是,是
殖民地风格黑色铝制外墙壁灯,殖民地风格黑色铝制外墙壁灯,25,https://cf.shopee.com.br/file/sg-11134201-7renh-m856cgwuszyt96,http://shopee.com.br/product/958456191/23693870955,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091815691,239419749390,相似款：https://detail.1688.com/offer/670442067332.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,23693870955,25,高销售优先级,1,否,是,是
3件套派对拱门装饰架，活动装饰支架，罗马式面板+圆形+矩形，可拆卸2x1，金色,金的,139,https://cf.shopee.com.br/file/br-11134207-7r98o-mc4eji7oq2snd0,http://shopee.com.br/product/1548782740/22598723486,派对用品,背景幕布和横幅,,IVCN2026091815337,228787565417,"https://detail.1688.com/offer/672322928092.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2108837b17581823007607766e0e81&token=HADOv8TDFMiWabpcVh7l51EM2fv4G9XK8K7cYxWcOrZHnTdE0p%2BHGDCwx%2FdNXIil&tracelog=cps&clickid=a435678cd71b652e4325534b8522663f&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC1A8AC346F3158519DDDEF88065C28DD4C4BB696422336EAB66217031ED7761EA7EEF6D6099BA67CE089F770C23C101B7934236C2D304A5DEB97D61CFA8AA92D78C53992F1ADC58698CB5A6AB33534F2AAED7E1B683B54CE177DE14266276EB3C63E0CEB3A64D4C4AF904D81757C38A95EBCC0B7B263C673BF80EE50A2F859E420F6FF6FB616DFEBC%26cbu_cps_trace_flag%3Dwrite
https://detail.1688.com/offer/955097432231.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17581822347843898e0edd&token=t03Vvfzr5CYZ4lYduBuw%2FHM2Hgo%2B0Hbh15nKA5TjLeP08Ggc9mlQudvZyWm1M6xU",P0,高销售优先级,22598723486,139,高销售优先级,1,否,是,是
各州旗帜晾衣绳，总长10米，配有27面14x21厘米的旗帜。,各州旗帜晾衣绳，总长10米，配有27面14x21厘米的旗帜。,4.4,https://cf.shopee.com.br/file/br-11134207-7r98o-m7au6cvbjnt645,http://shopee.com.br/product/321360884/21098088888,派对用品,背景幕布和横幅,,IVCN2026091815031,238781637148,相似款：https://detail.1688.com/offer/825414094291.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,21098088888,4.4,高销售优先级,1,否,是,是
50/100个10英寸马卡龙色/哑光乳胶复古气球，适用于婴儿派对、生日派对、婚礼装饰,紫色马卡龙，100个,4.5,https://cf.shopee.ph/file/ph-11134207-7r991-lult3ssbt0bec4,http://shopee.ph/product/681154582/25926976428,派对用品,气球,,IVCN2026091815997,255724990919,https://detail.1688.com/offer/704648130435.html?spm=a26352.13672862.offerlist.186.269f1e626Nhfsl,P0,高销售优先级,25926976428,4.5,高销售优先级,1,否,是,是
派对装饰用拱形套件，含中密度纤维板圆柱形桌子（小号、中号和大号）。,派对装饰用拱形套件，含中密度纤维板圆柱形桌子（小号、中号和大号）。,38,https://cf.shopee.com.br/file/br-11134207-7r98o-mdoo2ytq4v690d,http://shopee.com.br/product/763900982/18099949069,派对用品,背景幕布和横幅,,IVCN2026091814709,189608635701,https://detail.1688.com/offer/894788265055.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,18099949069,38,高销售优先级,1,否,是,是
Fit Slim Linear 壁灯 60cm 间接照明 集成 LED,金色 - 3000K 暖光,29,https://cf.shopee.com.br/file/br-11134207-820lv-mm3d958uahaf44,http://shopee.com.br/product/1238137674/23098377901,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091815509,119868296703,https://detail.1688.com/offer/1009180099661.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417840980857224034e0c76&token=Gf8AiiQBxtd0w1xFCVWYynu4HRkIaokjcp%2FQ%2FQAYLz103uOf1fl1avyStaeaByT9,P0,高销售优先级,23098377901,29,高销售优先级,1,否,是,是
小木屋圣诞村装饰品圣诞风景中密度纤维板促销,小木屋圣诞村装饰品圣诞风景中密度纤维板促销,28.8,https://cf.shopee.com.br/file/br-11134207-820m6-mrfyzer2nnd0fa,http://shopee.com.br/product/789537828/23597125703,派对用品,其他的,,IVCN2026091815679,169393931818,相似款：https://detail.1688.com/offer/543862446832.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2146938717612899385957863e0db0&token=wkKBPPYSBJpJMcn%2FGhaPIqt9eIrP%2BqC5mOOrtdMlKlATNxaLS94uV4diF%2FkP4LA7&tracelog=cps&clickid=c93993cd94d6c5166b4f916fc9f58d95&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDCDB60AFF2AC9E0259329AEACFFFDB7DB0751C655CEB7014B10B84164633612A627EEF6D6099BA67CE089F770C23C101B7426DB0B445C7006C6DDC835469CF4776107C27CFEEBC7D85DBD74BBAE08C3747A5EFFECFE19362E826989CBE3A9764D2A1B5DAFABAED14D2633DBA2F0D1B678E0D9DFDBB28586E4296F4CFEEE88BA73C674CDF628F121DCC%26cbu_cps_trace_flag%3Dwrite,P1,高销售优先级,23597125703,28.8,高销售优先级,1,否,是,是
带运动传感器和可调光灯泡的可充电电池供电壁灯,黑色 / 29x10（2 件）,35,https://cf.shopee.com.br/file/br-11134207-7r98o-m2h8ldefoo2eae,http://shopee.com.br/product/296745639/23697992667,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091815699,199168452708,https://detail.1688.com/offer/850616498349.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf8ca8917732988463108608e102e&token=LFvGfYizMHF5m8H2bL%2B7J4IGqsmK%2BIqmBsBtfKKkFdKW8p2xKgMPUNErlv2xqQr7,P0,高销售优先级,23697992667,35,高销售优先级,2,否,是,是
**95mm开口**，22盎司塑料胶囊杯，3A品牌。,1000张（整盒）,61.9,https://cf.shopee.co.th/file/th-11134207-81ztf-metfwog7w4xxb6,http://shopee.co.th/product/487053165/40019913889,派对用品,一次性餐具,,IVCN2026091816385,301626389643,相似款：https://detail.1688.com/offer/598851060061.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17701997561471838e0f6c&token=WG7ESmUCNhGkcTiDxqGeQfOYXKZK7HIFUnX7sM68UAUa8NMcwGUmTJxsAxf6Fg4D,P1,高销售优先级,40019913889,61.9,高销售优先级,1,否,是,是
Cinema 20桶装（1.5升）+ 20个扭扭杯（400毫升），立即发货,品种,7.79,https://cf.shopee.com.br/file/br-11134207-7r98o-lwiq24lm8eiebf,http://shopee.com.br/product/353101225/18899715580,派对用品,其他的,,IVCN2026091814807,199606958123,"相似款：https://detail.1688.com/offer/703407486974.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17539593817978463e1043&token=a7rv0VTQ5DZobHVx%2FNk3uMNYWKx8FVya1llLV0RrgxkqQZCxA00I06xAb%2BGPK%2FXA

https://detail.1688.com/offer/635635913957.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17539594144105058e0e11&token=%2Bwa7nz6n0XxKOzNlaA3ZcHC13nYlc0c8%2BgGnwLPIvJXZ0RYYdzMVRqIJfDLnAb7P",P1,高销售优先级,18899715580,7.79,高销售优先级,2,否,是,是
KMIPH 折叠床带床垫折叠椅户外单人折叠床椅带泡沫午睡床,75×193/含床垫,115,https://cf.shopee.ph/file/ph-11134207-7rash-madtk01r4qy96e,http://shopee.ph/product/1547699858/43002692004,寝具,其他的,,IVCN2026091816533,265222936397,https://detail.1688.com/offer/672553299206.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,43002692004,115,高销售优先级,2,否,是,是
LUMAX 24500sd 太阳能灯 - 买一送一。便携式照明灯、应急灯、吊灯、太阳能照明灯。,LUMAX 24500sd 太阳能灯 - 买一送一。便携式照明灯、应急灯、吊灯、太阳能照明灯。,51.6,https://cf.shopee.co.th/file/th-11134207-7ra0t-mbt1xdvxzmho0f,http://shopee.co.th/product/489453601/41957283095,灯光,太阳能灯,太阳能户外出行灯,IVCN2026091816495,128366661325,https://detail.1688.com/offer/671590301203.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,41957283095,51.6,高销售优先级,1,否,是,是
Lamptan（批发）24W 30W 32W 35W 42W 55W LED模块，磁性吸顶灯用，圆形。,42w-6500,13.05,https://cf.shopee.co.th/file/th-11134207-81ztj-mj5f6s0npon887,http://shopee.co.th/product/333417980/12674187277,灯光,灯具配件,灯带配件/控制器,IVCN2026091814557,201362259664,相似款：https://detail.1688.com/offer/910607161710.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,12674187277,13.05,高销售优先级,3,否,是,是
一次性纤细型PP杯，带盖（500个）。采用硬质塑料制成。每盒500套。,透明玻璃瓶，白色心形盖，600毫升（20盎司）[500个],167.23,https://cf.shopee.co.th/file/th-11134207-81ztl-mrb678vxzb4296,http://shopee.co.th/product/376880151/8023044251,派对用品,一次性餐具,,IVCN2026091814395,95034730367,https://detail.1688.com/offer/714515444075.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,高销售优先级,8023044251,167.23,高销售优先级,11,否,是,是
KKSKY【买一送一】太阳能灯泡 880000W，三色 LED 吊灯，露营灯，便携式聚光灯,980000W 买一送一 🔥,64.98,https://cf.shopee.co.th/file/th-11134207-81ztl-mqrfo7ou7h1rbc,http://shopee.co.th/product/1050385833/27538634815,灯光,太阳能灯,太阳能户外出行灯,IVCN2026091816163,262203516614,相似款：https://detail.1688.com/offer/754901095190.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2132815517739760933851571e0dbd&token=AwCvn3fsTSfbKa3B3B%2FJU%2B5hDmH0uvYwvwzuIRbsqxO10vQuRZ8ubwuBKKT%2BVjpW,P1,高销售优先级,27538634815,64.98,高销售优先级,1,否,是,是
2-10个太阳能壁灯，6/8/10/12颗LED暖光灯珠，自动防水，户外适用,10 个 LED 灯，8 个阿兰德拉灯,56,https://cf.shopee.com.br/file/cn-11134207-820l4-ms3j5l04mepy14,http://shopee.com.br/product/1615206406/50104391888,灯光,太阳能灯,太阳能壁灯,IVCN2026091816669,390411680847,https://detail.1688.com/offer/946183726912.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,50104391888,56,高销售优先级,1,否,是,是
5 件套皇后尺寸床单（3 件套），带松紧带和枕套 - 柔软舒适,5 件套皇后尺寸床单（3 件套），带松紧带和枕套 - 柔软舒适,30,https://cf.shopee.com.br/file/br-11134207-820lm-mse87ihadzpg2d,http://shopee.com.br/product/433428812/18399206451,寝具,床单、枕套和抱枕套,,IVCN2026091814747,199160639365,https://detail.1688.com/offer/726102446252.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,高销售优先级,18399206451,30,高销售优先级,1,否,是,是
（聚酯网布）Bendera Felda 旗帜双面印刷 *现货*,2x4 英尺（聚酯网）,17.01,https://cf.shopee.com.my/file/my-11134207-820l7-mq4rb2jclon52e,http://shopee.com.my/product/39337554/7114484644,派对用品,背景幕布和横幅,,IVCN2026091814357,168154893992,相似款：https://detail.1688.com/offer/613725290681.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,7114484644,17.01,高销售优先级,1,否,是,是
SM2 D75 LED嵌入式射灯，具有高防眩光CRI>98，白色外壳和黑色反射器。,36°，75mm 开孔，12W 中性灯泡，4000K,12.79,https://cf.shopee.vn/file/vn-11134207-81ztc-mq461nnazkea9f,http://shopee.vn/product/579270289/24871702822,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091815893,401139476152,相似款：https://detail.1688.com/offer/717529680381.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,24871702822,12.79,高销售优先级,1,否,是,是
